omega,magnitude_db,phase_deg
0.01,-0.0004342727686273253,-0.572938697683486
0.010752168531898922,-0.0005020550435691467,-0.6160301386539291
0.011560912813835741,-0.0005804162221911326,-0.6623620033371018
0.012430488295695173,-0.0006710071354643014,-0.7121778369378121
0.01336547050891115,-0.0007757361453997468,-0.7657394573783247
0.014370779141993754,-0.0008968092931844432,-0.8233283185444259
0.01545170392694147,-0.0010367766971823907,-0.8852469733585839
0.016613932472747908,-0.0011985861707236218,-0.9518206435310226
0.017863580192457366,-0.0013856451789544984,-1.0233989031954924
0.019207222481239298,-0.0016018924263680907,-1.1003574839807686
0.020651929314796272,-0.0018518805646596337,-1.1831002093913385
0.022205302450155343,-0.002140871738655392,-1.272061066658232
0.02387551542458583,-0.0024749479500485476,-1.3677064244567274
0.02567135656310991,-0.0028611385196124425,-1.4705374050503512
0.027602275220902736,-0.003307567273796296,-1.5810924194829845
0.029678431503900374,-0.0038236224769114128,-1.6999498743688644
0.03191074972923552,-0.0044201529826483794,-1.8277310585807327
0.03431097590679882,-0.005109694595020416,-1.9651032176555048
0.036891739544382435,-0.005906731217538777,-2.11278282295752
0.03966662010161201,-0.006827996038477062,-2.2715390414781282
0.04265021844233418,-0.007892818758365838,-2.442197410503737
0.04585823366142806,-0.009123525722566682,-2.625643719124778
0.049307545690287495,-0.010545900785157243,-2.8228280955283975
0.05301630411562775,-0.012189715808825973,-3.0347692950256335
0.057004023678963595,-0.014089340905061493,-3.2625591785749397
0.06129168695925734,-0.01628444584345919,-3.507367364893107
0.06590185477903263,-0.0188208055078506,-3.770446030748661
0.07085878491488876,-0.021751223843323828,-4.053134823299253
0.07618855973704608,-0.025136592405825987,-4.356865834873438
0.08191922344953681,-0.029047101366096627,-4.6831685738311
0.08808092965317063,-0.03356362258496718,-5.033674844392667
0.0947061000077224,-0.038779286096601924,-5.410123422833838
0.10182959482819048,-0.04480127290616033,-5.814364386330325
0.10948889651276869,-0.051752848282621035,-6.248362913052428
0.11772430676769291,-0.05977566050440246,-6.714202326841713
0.12657915866672037,-0.06903233002372762,-7.214086105937132
0.13610004466105513,-0.0797093528960341,-7.750338511823198
0.14633706173946348,-0.09202033960768988,-8.325403420634364
0.157344075028561,-0.10620960553653046,-8.94184085537071
0.16917900122028362,-0.1225561214587168,-9.602320622869575
0.18190411331788228,-0.14137782087948134,-10.309612356543765
0.19558636830395093,-0.16303624446505405,-11.066571157472259
0.2102977594546134,-0.18794147930567545,-11.876117917941034
0.22611569515367444,-0.21655732088478558,-12.741213311513315
0.24312340619997877,-0.2494065472402465,-13.664824354726477
0.2614103837511491,-0.28707614686975214,-14.649882405115576
0.28107285020807277,-0.3302222839420329,-15.699231481794497
0.3022142655178379,-0.3795747167138127,-16.815565907817586
0.32494587155918425,-0.4359403095276346,-18.001356513269528
0.34938727747491294,-0.5002051992461474,-19.2587650436428
0.3756670890311596,-0.573335100078816,-20.58954702861845
0.4039235853150907,-0.656373166447046,-21.994944214045976
0.43430544633167073,-0.7504347954531214,-23.475568759940202
0.4669725353279706,-0.8566987556894501,-25.031282744700235
0.5020967399614465,-0.9763940966861187,-26.66107803017748
0.5398628767382502,-1.1107824419075374,-28.36296311382648
0.580469663480544,-1.2611355119439072,-30.133865035221362
0.6241307649397462,-1.4287080674770682,-31.969555462951877
0.6710759170575141,-1.6147068919418524,-33.864610471299855
0.7215521357901018,-1.8202569191277507,-35.81241293568995
0.775825016856679,-2.0463660966935735,-37.805204715004194
0.8341801332506334,-2.2938909898648383,-39.834192780103635
0.8969245378672714,-2.5635053898990194,-41.88970934073768
0.9643883791544459,-2.85567422741736,-43.96142121438122
1.0369266382873439,-3.170634857338617,-46.038578785618775
1.1149209970080916,-3.5083872796627973,-48.11029065926231
1.1987818459583772,-3.8686941394711374,-50.16580721989636
1.2889504440725366,-4.251090506142389,-52.1947952849958
1.3859012403933868,-4.654902588419085,-54.18758706431004
1.490144370527747,-5.079273821075713,-56.13538952870014
1.602228340877477,-5.523196256453449,-58.03044453704812
1.7227429147699427,-5.985544960762806,-59.86613496477864
1.8523222156741201,-6.465113150568954,-61.63703688617352
1.9916480638308562,-6.960646065190055,-63.338921969822515
2.141453563853955,-7.470871984035906,-64.96871725529977
2.302526962179329,-7.994529283642095,-66.52443124005978
2.4757157946593424,-8.530388914478543,-68.00505578595404
2.6619313461261314,-9.077272107952833,-69.41045297138156
2.8621534453892727,-9.634063466962683,-70.7412349563572
3.0774356208980618,-10.19971983708669,-71.99864348673047
3.3089106441964957,-10.77327550411539,-73.18443409218241
3.5577964903394954,-11.353844331186128,-74.3007685182055
3.8254027466328746,-11.940619453956366,-75.35011759488442
4.11313750341857,-12.532871114169378,-76.33517564527352
4.4225147631630435,-13.129943147656434,-77.25878668848668
4.755162406834014,-13.731248565919852,-78.12388208205897
5.112830759482942,-14.336264590921747,-78.93342884252775
5.497401800103736,-14.944527427178695,-79.69038764345623
5.910899064227987,-15.555626987600448,-80.39767937713043
6.355498291362295,-16.169201731520783,-81.05815914462929
6.833538873292303,-16.78493372543446,-81.67459657936564
7.347536163492151,-17.40254399856532,-82.24966148817681
7.900194712408972,-18.021788235535542,-82.78591389406287
8.4944224982638,-18.642452825858737,-83.28579767315829
9.133346228248625,-19.264351273479473,-83.75163708694758
9.820327790631257,-19.88732095794553,-84.18563561366967
10.558981944335786,-20.511220230978488,-84.58987657716618
11.353195339077613,-21.135925827309375,-84.96632515560734
12.207146966133182,-21.761330565933026,-85.3168314261689
13.12533014735226,-22.38734131681527,-85.64313416512657
14.11257617811452,-23.013877208095288,-85.94686517670074
15.174079748634945,-23.640868049602343,-86.22955396925134
16.315426277379736,-24.268252949780468,-86.49263263510692
17.542621300415917,-24.895979104684592,-86.73744082142508
18.862122071335175,-25.52400073943087,-86.96523070497439
20.280871538024616,-26.152278184249724,-87.1771719044716
21.806334875063275,-26.78077706902965,-87.37435628087523
23.446538763970537,-27.409467621907968,-87.55780258949626
25.210113627991248,-28.038324059030604,-87.72846095852186
27.10633904364837,-28.66732405405219,-87.8872171770425
29.145192568009907,-29.29644827727219,-88.0348967823445
31.337402238589046,-29.925679995502335,-88.17226894141928
33.694503022121594,-30.555004724839115,-88.30005012563115
36.22889750924289,-31.184409929478516,-88.41890758051701
38.953921174427265,-31.813884760566854,-88.52946259494965
41.88391254457479,-32.44341982983981,-88.63229357554327
45.03428864545836,-33.073007013470935,-88.72793893334178
48.42162612301507,-33.70263928213946,-88.81689979060867
52.06374846632575,-34.33231055384369,-88.89964251601924
55.97981979123284,-34.962015566438794,-88.97660109680452
60.190445678066624,-35.591749767273086,-89.04817935646898
64.71778159406794,-36.221509217642065,-89.11475302664142
69.58564947100446,-36.85129051008059,-89.17667168145559
74.81966305138829,-37.48109069677532,-89.23426054262168
80.44736266284185,-38.11090722760791,-89.28782216306219
86.49836012976684,-38.740737896537155,-89.33763799666289
93.00449458481393,-39.37058079520105,-89.38396986134606
100.0,-40.00043427276863,-89.42706130231653
